Author,Date,Region,Sentence,translation,score
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se l'occhio è il membro nobile del corpo dell'uomo, allora la salutazione è la parte nobile della pistola, che illumina tutta la lettera come l'occhio illumina l'uomo.",4
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Tarentini, che erano nati di quelli di Sparta e fatti da loro nobili cittadini greci.",3
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Ulecois, era un uomo ricco e nobile: Orgentore fu chiamato per nome.",5
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Ma che, se una cosa nobile e alta è abbassare il nemico, non è meno lodevole conoscere avere misericordia.",2
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","""Alexandri, questo è il genero e il figlio, da Phausonia, giovane nobile di Macedonia, mentre si trovava in un luogo stretto senza guardia, fu ucciso.""",3
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alcuni sono ricchi e gentili, ma si lamentano di voler avere un'altra moglie che quella che hanno.",3
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, dopo averlo visto in figura il popolo gentile, gli disse: uccidi e mangia.",3
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","""Il gentile uomo accettò di liberarlo dalla sua obbligazione, che aveva lasciato incatenato.""",3
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il popolo gentile congelato dal freddo del peccato, il quale popolo tenne sotto il giogo della sua tirannia",3
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","""sia in mezzo tra me e te: con noi non puoi più lungamente dimorare, ch'io non lo soffrirò e non lo lascerò.""",2
